REPASSE DE MANUTENÇÃO;;;;;;;;;
;;DIRETORIA REGIONAL BAIXADAS LITORÂNEAS;;;;;;;
ITEM;código;ARARUAMA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33026734;CE Antonio Pinto de Moraes;01.906.251/0001-00;6869 - 0000000698; R$ 5.200,00 ;2021NE01594;2021NL01536;2021PD01886;2021LB17909
2;33026432;CE Edmundo Silva;00.810.159/0001-71;6869 - 0000001287; R$ 22.304,00 ;2021NE01594;2021NL01536;2021PD01886;2021LB17909
3;33026726;CE Professor Fonseca;12.629.299/0001-27;6869 - 0000000868; R$ 4.233,40 ;2021NE01594;2021NL01536;2021PD01886;2021LB17909
4;33026440;CE Professora Clarice Moreiras Caldas;01.355.443/0001-68;6869 - 0000000639; R$ 6.241,60 ;2021NE01594;2021NL01536;2021PD01886;2021LB17909
5;33026408;CIEP 148 Professor Carlos Elio Vogas da Silva ;01.897.960/0001-69;6869 - 0000001333; R$ 11.225,20 ;2021NE01594;2021NL01536;2021PD01886;2021LB17909
6;33026386;CIEP 253 Guimarães Rosa ;01.230.464/0001-57;1882 - 0000272019; R$ 9.662,60 ;2021NE01594;2021NL01536;2021PD01886;2021LB17909
7;33026874;CIEP 384 Gonçalves Dias ;01.271.825/0001-03;6869 - 0000001120; R$ 11.478,60 ;2021NE01594;2021NL01536;2021PD01886;2021LB17909
8;33026394;CIEP 460 Theofila Bragança;01.148.117/0001-80;6869 - 0000001058; R$ 7.855,80 ;2021NE01594;2021NL01536;2021PD01886;2021LB17909
9;33183759;CE SARGENTO PM ANTONIO CARLOS OLIVEIRA DE MOURA;0;0; R$ 1.700,00 ;2021NE01416;2021NL01420;2021PD01778;IMPEDIDA
9;;ARARUAMA;;; R$ 79.901,20 ;;;;
ITEM;código;ARMAÇÃO DE BÚZIOS;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33027820;CE João de Oliveira Botas ;01.394.361/0001-22;1057 - 0000252905; R$ 15.282,00 ;2021NE01419;2021NL01421;2021PD01779;
1;;ARMAÇÃO DE BÚZIOS;;; R$ 15.282,00 ;;;;
